,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
47,AMZN,1997-07-24,0.00213248581266,0.00211448552213,0.00208487863941,0.0020940322991,1216800,0.000177891444508,-0.03125,1.75944,0.016147,936.559998,941.51001,926.909973,940.299988,571020000.0,940.299988
48,AMZN,1997-07-25,0.00205529480649,0.00205733726477,0.00208487863941,0.00206508258757,620400,0.000175432119409,-0.03125,1.769026,0.008853,940.299988,945.650024,936.090027,938.789978,521510000.0,938.789978
49,AMZN,1997-07-28,0.00206494724284,0.0021906800745,0.00208487863941,0.00215193172216,2574000,0.000182810094706,0.09375,1.780104,0.066147,938.789978,942.969971,935.190002,936.450012,466920000.0,936.450012
50,AMZN,1997-07-29,0.00219038144101,0.00228593029419,0.00219254521778,0.0022966802798,4814400,0.000195106720203,0.15625,1.795104,0.21823,936.450012,942.960022,932.559998,942.289978,544540000.0,942.289978
51,AMZN,1997-07-30,0.00231582513407,0.00229069409673,0.00228063868142,0.00226773056827,2517600,0.000192647395103,-0.03125,1.809896,0.175521,942.289978,953.97998,941.97998,952.289978,568470000.0,952.289978
52,AMZN,1997-07-31,0.00225792950572,0.00222878203684,0.00219254521778,0.00221947471872,1454400,0.000188547995282,-0.05209,1.825104,0.105723,952.289978,957.72998,948.890015,954.309998,547830000.0,954.309998
53,AMZN,1997-08-01,0.00217108606319,0.00220973574183,0.00211424312729,0.00223878085674,3588000,0.000190188070004,0.02084,1.844896,0.100521,954.289978,955.349976,939.039978,947.140015,513750000.0,947.140015
54,AMZN,1997-08-04,0.00220003387737,0.0022049717107,0.0021631807299,0.00214227865315,2671200,0.000181990057345,-0.10417,1.863229,0.01667,947.140015,953.179993,943.599976,950.299988,456000000.0,950.299988
55,AMZN,1997-08-05,0.00216143362684,0.00213353181714,0.00201635829051,0.00204577644955,3032400,0.000173792044686,-0.10417,1.877396,0.128131,950.299988,954.210022,948.919983,952.369995,525710000.0,952.369995
56,AMZN,1997-08-06,0.00204564237013,0.00211448552213,0.00205551415153,0.00208437923009,1243200,0.000177071407147,0.04167,1.890729,0.082294,952.369995,962.429993,949.450012,960.320007,565200000.0,960.320007
57,AMZN,1997-08-07,0.00208424262066,0.00206686509844,0.00199678517577,0.00201682673802,2034000,0.000171332719587,-0.07292,1.903646,0.14688,960.320007,964.169983,950.869995,951.190002,576030000.0,951.190002
58,AMZN,1997-08-08,0.00200705161449,0.00210495768847,0.00197721206104,0.00212298201063,2211600,0.000180350769607,0.11459,1.919375,0.03854,951.190002,951.190002,925.73999,933.539978,563420000.0,933.539978
59,AMZN,1997-08-11,0.00212284287119,0.00213353181714,0.00211424312729,0.00215674887696,1239600,0.000183219326403,0.03645,1.935937,0.00261,933.539978,938.5,925.390015,937.0,480340000.0,937.0
60,AMZN,1997-08-12,0.00211319043484,0.00210495768847,0.00206530552468,0.00203613287604,571200,0.000172972794309,-0.1302,1.949687,0.104685,937.0,942.98999,925.659973,926.530029,499310000.0,926.530029
61,AMZN,1997-08-13,0.00206494724284,0.00203829096976,0.0020359410368,0.00203613287604,590400,0.000172972794309,0.0,1.964062,0.079685,926.530029,935.77002,916.539978,922.02002,587210000.0,922.02002
62,AMZN,1997-08-14,0.00201669455596,0.00205733726477,0.00199188960666,0.0019975300955,1041600,0.000169693431849,-0.04167,1.978854,0.097397,922.02002,930.070007,916.919983,924.77002,530460000.0,924.77002
63,AMZN,1997-08-15,0.00197810380031,0.00197161487874,0.0018205982485,0.00195892731496,1597200,0.000166414069389,-0.04167,1.990312,0.108858,924.77002,924.77002,900.809998,900.809998,537820000.0,900.809998
64,AMZN,1997-08-18,0.00190090329925,0.00187636465905,0.00184996273638,0.0018913843184,1784400,0.000160676168813,-0.07291,1.99802,0.154685,900.809998,912.570007,893.340027,912.48999,514330000.0,912.48999
65,AMZN,1997-08-19,0.00193950354978,0.00201923530243,0.00192826482687,0.00200718316451,1003200,0.00017051346921,0.125,2.007603,0.025519,912.48999,926.01001,912.48999,926.01001,545630000.0,926.01001
66,AMZN,1997-08-20,0.00202634699231,0.00200018900742,0.00194784757316,0.00200718316451,999600,0.00017051346921,0.0,2.01927,0.017186,926.01001,939.349976,924.580017,939.349976,521270000.0,939.349976
67,AMZN,1997-08-21,0.00197810380031,0.00198590651494,0.00194784757316,0.00195892731496,624000,0.000166414069389,-0.05209,2.030728,0.063026,939.349976,939.469971,921.349976,925.049988,499000000.0,925.049988
68,AMZN,1997-08-22,0.00194915598614,0.00194304075007,0.00196742068789,0.00196858038397,712800,0.00016723410675,0.01042,2.041145,0.035939,925.049988,925.049988,905.419983,923.539978,460160000.0,923.539978
69,AMZN,1997-08-25,0.00194915598614,0.00206686509844,0.00197721206104,0.00205542951856,1126800,0.000174612082047,0.09375,2.053853,0.068748,923.549988,930.929993,917.289978,920.159973,388990000.0,920.159973
70,AMZN,1997-08-26,0.00207459018431,0.00215258748447,0.00209467001255,0.00217122836467,2574000,0.000184449382445,0.125,2.06927,0.179165,920.159973,922.469971,911.719971,913.02002,449110000.0,913.02002
71,AMZN,1997-08-27,0.00213731214663,0.00212401335579,0.00211424312729,0.00214710507185,1392000,0.000182400076026,-0.02604,2.08552,0.141146,913.02002,916.22998,903.830017,913.700012,492150000.0,913.700012
72,AMZN,1997-08-28,0.00213248581266,0.0021906800745,0.00214360761517,0.0022001780762,1147200,0.000186908707544,0.05729,2.102812,0.176561,913.700012,915.900024,898.650024,903.669983,486300000.0,903.669983
73,AMZN,1997-08-29,0.00219038144101,0.00217163377948,0.00218276347619,0.00216640194597,722400,0.000184039363764,-0.03646,2.119374,0.117705,903.669983,907.280029,896.820007,899.469971,413910000.0,899.469971
74,AMZN,1997-09-02,0.00217108606319,0.00217163377948,0.00219254521778,0.00218088143369,732000,0.000185269419806,0.01563,2.135937,0.102085,899.469971,927.580017,899.469971,927.580017,491870000.0,927.580017
75,AMZN,1997-09-03,0.00217108606319,0.00220973574183,0.00217297210305,0.00216157529566,1964400,0.000183629345083,-0.02084,2.152604,0.064579,927.580017,935.900024,926.869995,927.859985,549060000.0,927.859985
76,AMZN,1997-09-04,0.00219038144101,0.00233355071789,0.00220233659093,0.00236422327637,3348000,0.000200844620778,0.21875,2.173437,0.244788,927.859985,933.359985,925.590027,930.869995,559310000.0,930.869995
77,AMZN,1997-09-05,0.00239301614024,0.00243832877125,0.0023100031693,0.00231597692232,1908000,0.000196746007941,-0.05208,2.193229,0.154166,930.869995,940.369995,924.049988,929.049988,536400000.0,929.049988
78,AMZN,1997-09-08,0.00234477294825,0.00276216264805,0.00234915903032,0.00277917230678,5648400,0.000236095209529,0.5,2.223021,0.566666,929.049988,936.5,929.049988,931.200012,466430000.0,931.200012
79,AMZN,1997-09-09,0.00290925069302,0.00309553373083,0.00284345975515,0.00300111693,8971200,0.000254949772962,0.23958,2.258021,0.704163,931.200012,938.900024,927.280029,933.619995,502200000.0,933.619995
80,AMZN,1997-09-10,0.00306846830264,0.00304314013229,0.0029364487879,0.00305901635306,3866400,0.000259868423161,0.0625,2.293229,0.67083,933.619995,933.619995,918.76001,919.030029,517620000.0,919.030029
81,AMZN,1997-09-11,0.00308776368047,0.00304790393482,0.00285814669741,0.00292392086443,4262400,0.000248391835025,-0.14583,2.326042,0.441146,919.030029,919.030029,902.559998,912.590027,575020000.0,912.590027
82,AMZN,1997-09-12,0.00295267704594,0.0033812750176,0.00296581327578,0.00341606596042,3333600,0.000290200361713,0.53125,2.368021,0.841146,912.590027,925.049988,906.700012,923.909973,544150000.0,923.909973
83,AMZN,1997-09-15,0.00339654669493,0.00336221935027,0.002867928439,0.00286602144137,5583600,0.000243473184827,-0.59375,2.391667,0.171875,923.909973,928.900024,919.409973,919.77002,468030000.0,919.77002
84,AMZN,1997-09-16,0.00289478141759,0.00323840437421,0.00293155321879,0.00310727220261,6432000,0.000263967822982,0.26042,2.41875,0.332295,919.77002,947.659973,919.77002,945.640015,636380000.0,945.640015
85,AMZN,1997-09-17,0.00320355493717,0.00320030241187,0.00313220882991,0.00315551855666,2607600,0.000268066435819,0.05208,2.440833,0.277083,945.640015,950.289978,941.98999,943.0,590550000.0,943.0
86,AMZN,1997-09-18,0.00318425955935,0.00317172828319,0.0030832712273,0.00304937277956,2128800,0.000259049172783,-0.11458,2.460208,0.088544,943.0,958.190002,943.0,947.289978,566830000.0,947.289978
87,AMZN,1997-09-19,0.00313119003338,0.00373368325167,0.00317136469093,0.00365731672166,8929200,0.000310694999868,0.65625,2.487916,0.600002,947.289978,952.349976,943.900024,950.51001,631040000.0,950.51001
88,AMZN,1997-09-22,0.00370532021451,0.00427659169654,0.0037097168459,0.00416875846017,16938000,0.000354142814293,0.55208,2.532083,1.002082,950.51001,960.590027,950.51001,955.429993,490900000.0,955.429993
89,AMZN,1997-09-23,0.00415883303656,0.00424801756787,0.00413060165272,0.00428455730629,7682400,0.000363980114691,0.125,2.581875,0.98854,955.429993,955.780029,948.070007,951.929993,522930000.0,951.929993
90,AMZN,1997-09-24,0.00430357210743,0.00440041581632,0.00403272597765,0.00405295961406,8200800,0.000344305513896,-0.25,2.620625,0.631248,951.929993,959.780029,944.070007,944.47998,639460000.0,944.47998
91,AMZN,1997-09-25,0.00402374617045,0.00398133149123,0.00380759228605,0.00377793295418,4968000,0.000320941531961,-0.29688,2.655521,0.242181,944.47998,947.0,937.380005,937.909973,524880000.0,937.909973
92,AMZN,1997-09-26,0.00377286804763,0.0038956091052,0.00380759228605,0.00385996447077,2731200,0.000327910275563,0.08855,2.694479,0.282814,937.909973,946.440002,937.909973,945.219971,505340000.0,945.219971
93,AMZN,1997-09-29,0.00384040708062,0.00382893324278,0.00371949858749,0.00374416562465,2371200,0.000318072975166,-0.125,2.732187,0.063022,945.219971,953.960022,941.940002,953.340027,477100000.0,953.340027
94,AMZN,1997-09-30,0.00370532021451,0.0039765676887,0.0035726761481,0.00401918348382,5254800,0.000341436170117,0.29687,2.775312,0.261455,953.340027,955.169983,947.280029,947.280029,587500000.0,947.280029
95,AMZN,1997-10-01,0.00411058961297,0.00411467452955,0.00369992547276,0.00372485994983,4999200,0.000316432900443,-0.31771,2.81302,0.117713,947.280029,956.710022,947.280029,955.409973,598660000.0,955.409973
96,AMZN,1997-10-02,0.00374392023346,0.0038194056377,0.00374886307537,0.00371521591312,1876800,0.000315613650066,-0.01041,2.847395,0.199998,955.409973,960.460022,952.940002,960.460022,474760000.0,960.460022
97,AMZN,1997-10-03,0.00378251145227,0.00377178498542,0.00373908133378,0.00372003353112,1164000,0.000316022881763,0.0052,2.882499,0.201568,960.460022,975.469971,955.130005,965.030029,623370000.0,965.030029
98,AMZN,1997-10-06,0.00370532021451,0.00377178498542,0.00370482104187,0.00382136192183,2028000,0.000324630913102,0.10938,2.920416,0.054688,965.030029,974.159973,965.030029,972.690002,495620000.0,972.690002
99,AMZN,1997-10-07,0.00378251145227,0.00382893324278,0.00379781007462,0.00375863608006,1742400,0.000319302244223,-0.06771,2.955103,0.065627,972.690002,983.119995,971.950012,983.119995,551970000.0,983.119995
100,AMZN,1997-10-08,0.00384040708062,0.00380988671917,0.00374397690289,0.00371038949442,2806800,0.000315203631386,-0.05208,2.985624,0.080728,983.119995,983.119995,968.650024,973.840027,573110000.0,973.840027
101,AMZN,1997-10-09,0.00370532021451,0.00367653499432,0.00351394717234,0.00347396538348,3950400,0.000295119011911,-0.25521,3.011666,0.303126,973.840027,974.719971,963.340027,970.619995,551840000.0,970.619995
102,AMZN,1997-10-10,0.00345444232328,0.00371463672807,0.00344543645499,0.00361388752242,3787200,0.000307005618727,0.15104,3.04177,0.125523,970.619995,970.619995,963.419983,966.97998,500680000.0,966.97998
103,AMZN,1997-10-13,0.00363777214981,0.00369559020446,0.00369013409961,0.00370556307571,814800,0.000314793612705,0.09896,3.073437,0.022396,966.97998,973.460022,966.950012,968.099976,354800000.0,968.099976
104,AMZN,1997-10-14,0.00376321584286,0.00375273846181,0.00360204063598,0.00368626643319,1546800,0.000313154324967,-0.02083,3.10677,0.007289,968.099976,972.859985,961.869995,970.280029,510330000.0,970.280029
105,AMZN,1997-10-15,0.00367637240034,0.00362891434203,0.00354331166022,0.00363319342884,2355600,0.000308645693449,-0.05729,3.141041,0.054684,970.280029,970.280029,962.75,965.719971,505310000.0,965.719971
106,AMZN,1997-10-16,0.00368602483669,0.0036384421757,0.00338670747923,0.00335816653736,3481200,0.000285281711514,-0.29688,3.168541,0.313022,965.719971,973.380005,950.77002,955.25,597010000.0,955.25
107,AMZN,1997-10-17,0.00334829400805,0.00334317305526,0.00330839575719,0.00335816653736,2534400,0.000285281711514,0.0,3.197499,0.27396,955.22998,955.22998,931.580017,944.159973,624980000.0,944.159973
108,AMZN,1997-10-20,0.0034061896364,0.003543191956,0.00344543645499,0.00354151787555,4912800,0.000300857699471,0.19792,3.228124,0.045832,944.159973,955.719971,941.429993,955.609985,483880000.0,955.609985
109,AMZN,1997-10-21,0.00366671996398,0.00405752627219,0.00362162338226,0.0041012061997,12096000,0.000348404126734,0.60416,3.270103,0.521349,955.609985,972.559998,955.609985,972.280029,582310000.0,972.280029
110,AMZN,1997-10-22,0.00409129400357,0.00422420724172,0.00411102830306,0.00418805533429,5208000,0.000355782102032,0.09375,3.316561,0.563537,972.280029,972.609985,965.659973,968.48999,613490000.0,968.48999
111,AMZN,1997-10-23,0.00391760711851,0.0041718227869,0.00393484137579,0.00416875846017,5656800,0.000354142814293,-0.02083,3.362603,0.467707,968.48999,968.48999,944.159973,950.690002,673270000.0,950.690002
112,AMZN,1997-10-24,0.00440006775473,0.00462900884574,0.00426764188069,0.00465607713746,9492000,0.0003955413223,0.52604,3.419999,0.881247,950.690002,960.039978,937.549988,941.640015,677630000.0,941.640015
113,AMZN,1997-10-27,0.00444831117831,0.00458138819346,0.0039739970019,0.00395645764206,6091200,0.000336107501238,-0.75521,3.463124,0.098954,941.640015,941.640015,876.72998,876.98999,693730000.0,876.98999
114,AMZN,1997-10-28,0.00362812920834,0.00457186058839,0.003641196497,0.00458370725899,11719200,0.000389393403044,0.67709,3.521249,0.679169,876.98999,923.090027,855.27002,921.849976,1202550000.0,921.849976
115,AMZN,1997-10-29,0.00476673713425,0.00502904664723,0.00469831806064,0.00499382083839,7126800,0.00042423318613,0.4427,3.585728,0.974995,921.849976,935.23999,913.880005,919.159973,777660000.0,919.159973
116,AMZN,1997-10-30,0.0048246327626,0.00489570360891,0.00473747368675,0.00474775269075,4770000,0.000403329316279,-0.26562,3.644895,0.559375,919.159973,923.280029,903.679993,903.679993,712230000.0,903.679993
117,AMZN,1997-10-31,0.00496937183348,0.00499094491348,0.00466895357277,0.00470915014181,5026800,0.000400049953818,-0.04167,3.70427,0.371872,903.679993,919.929993,903.679993,914.619995,638070000.0,914.619995
118,AMZN,1997-11-03,0.00483428496737,0.00477187948913,0.00464938022311,0.00469950610511,1999200,0.000399230703441,-0.01041,3.763228,0.236462,914.619995,939.02002,914.619995,938.98999,564740000.0,938.98999
119,AMZN,1997-11-04,0.00463165026814,0.00461948124067,0.0045319222716,0.0045933512957,2365200,0.000390212653421,-0.11459,3.81802,0.068747,938.98999,941.400024,932.659973,940.76001,541590000.0,940.76001
120,AMZN,1997-11-05,0.00461235465873,0.00468139330056,0.00458086010913,0.00451615499852,3093600,0.000383654715485,-0.08333,3.868645,0.05,940.76001,949.619995,938.159973,942.76001,565680000.0,942.76001
121,AMZN,1997-11-06,0.00455445903038,0.00449566580743,0.00435573534432,0.00431833343653,2913600,0.00036684945847,-0.21354,3.91552,0.279686,942.76001,942.849976,934.159973,938.030029,522890000.0,938.030029
122,AMZN,1997-11-07,0.00409129400357,0.00424325376533,0.00412081944129,0.00414946158606,2626800,0.000352503526555,-0.18229,3.957603,0.407289,938.030029,938.030029,915.390015,927.51001,569980000.0,927.51001
123,AMZN,1997-11-10,0.00416848524133,0.0041718227869,0.00395441472544,0.003898558219,2764800,0.000331188851039,-0.27084,3.994999,0.671879,927.51001,935.900024,920.26001,921.130005,464140000.0,921.130005
124,AMZN,1997-11-11,0.00393207662553,0.00394322975749,0.00368035235802,0.00365731672166,4312800,0.000310694999868,-0.26041,4.026874,0.832289,921.130005,928.289978,919.630005,923.780029,435660000.0,923.780029
125,AMZN,1997-11-12,0.0034978594129,0.00382893324278,0.00344543645499,0.003493262026,8683200,0.000296758299649,-0.17709,4.055624,0.8474,923.780029,923.880005,905.340027,905.960022,585340000.0,905.960022
126,AMZN,1997-11-13,0.00365707702251,0.00362891434203,0.00354331166022,0.00357529400578,4290000,0.000303727043251,0.08855,4.08177,0.632288,905.960022,917.789978,900.609985,916.659973,653960000.0,916.659973
127,AMZN,1997-11-14,0.00364742458616,0.00384797976638,0.00355310303336,0.00385996447077,5869200,0.000327910275563,0.30729,4.115103,0.233332,916.659973,930.440002,915.340027,928.349976,635760000.0,928.349976
128,AMZN,1997-11-17,0.00391760711851,0.0041527762633,0.00396420586367,0.00405295961406,7394400,0.000344305513896,0.20833,4.142603,0.04479,928.349976,949.659973,928.349976,946.200012,576540000.0,946.200012
129,AMZN,1997-11-18,0.00405269398462,0.00409562800594,0.00408166381518,0.004091562163,1866000,0.000347584876357,0.04167,4.166145,0.140626,946.200012,947.650024,937.429993,938.22998,521380000.0,938.22998
130,AMZN,1997-11-19,0.0040816417988,0.00413372105316,0.00405229932731,0.00417841129759,2534400,0.000354962851655,0.09375,4.190312,0.270834,938.22998,947.280029,934.830017,944.590027,542720000.0,944.590027
